chn,slots,seqs,frgs,trxs,seed,TP,FP,FN,len(T),len(T'),dup(T),dup(T'),time[s]
35,7000,8832,30,50,0,50,0,0,50,50,0,0,30.42,milp
35,7000,8832,30,50,2,50,0,0,50,50,0,0,30.40,milp
35,7000,8832,30,50,4,49,1,1,50,50,0,0,31.16,milp
35,7000,8832,30,50,6,50,0,0,50,50,0,0,31.02,milp
35,7000,8832,30,50,8,50,0,0,50,50,0,0,30.32,milp
35,7000,8832,30,50,10,50,0,0,50,50,0,0,30.41,milp
35,7000,8832,30,50,12,49,1,1,50,50,0,0,30.55,milp
35,7000,8832,30,50,14,49,1,1,50,50,0,0,30.80,milp
35,7000,8832,30,50,16,49,1,1,50,50,0,0,30.87,milp
35,7000,8832,30,50,18,49,1,1,50,50,0,0,31.00,milp
35,7000,8832,30,150,0,149,1,1,150,150,0,0,32.99,milp
35,7000,8832,30,150,2,147,5,3,150,152,0,0,33.59,milp
35,7000,8832,30,150,4,147,3,3,150,150,0,0,33.72,milp
35,7000,8832,30,150,6,147,3,3,150,150,0,0,33.50,milp
35,7000,8832,30,150,8,145,5,5,150,150,0,0,33.45,milp
35,7000,8832,30,150,10,148,2,2,150,150,0,0,33.62,milp
35,7000,8832,30,150,12,147,3,3,150,150,0,0,33.54,milp
35,7000,8832,30,150,14,146,4,4,150,150,0,0,34.07,milp
35,7000,8832,30,150,16,145,8,5,150,153,0,0,33.47,milp
35,7000,8832,30,150,18,144,6,6,150,150,0,0,33.31,milp
35,7000,8832,30,250,0,243,10,7,250,253,0,0,36.39,milp
35,7000,8832,30,250,2,239,13,11,250,252,0,0,35.97,milp
35,7000,8832,30,250,4,243,7,7,250,250,0,0,36.43,milp
35,7000,8832,30,250,6,242,8,8,250,250,0,0,36.46,milp
35,7000,8832,30,250,8,241,9,9,250,250,0,0,36.17,milp
35,7000,8832,30,250,10,244,6,6,250,250,0,0,36.46,milp
35,7000,8832,30,250,12,241,9,9,250,250,0,0,36.47,milp
35,7000,8832,30,250,14,238,12,12,250,250,0,0,36.01,milp
35,7000,8832,30,250,16,241,12,9,250,253,0,0,36.01,milp
35,7000,8832,30,250,18,238,12,12,250,250,0,0,36.01,milp
35,7000,8832,30,350,0,334,19,16,350,353,0,0,39.01,milp
35,7000,8832,30,350,2,326,26,24,350,352,0,0,38.90,milp
35,7000,8832,30,350,4,326,24,24,350,350,0,0,38.97,milp
35,7000,8832,30,350,6,333,17,17,350,350,0,0,40.17,milp
35,7000,8832,30,350,8,323,27,27,350,350,0,0,38.69,milp
35,7000,8832,30,350,10,336,14,14,350,350,0,0,39.15,milp
35,7000,8832,30,350,12,327,23,23,350,350,0,0,38.96,milp
35,7000,8832,30,350,14,329,21,21,350,350,0,0,39.45,milp
35,7000,8832,30,350,16,333,20,17,350,353,0,0,39.73,milp
35,7000,8832,30,350,18,322,28,28,350,350,0,0,39.35,milp
35,7000,8832,30,450,0,427,26,23,450,453,0,0,41.87,milp
35,7000,8832,30,450,2,416,36,34,450,452,0,0,42.41,milp
35,7000,8832,30,450,4,412,38,38,450,450,0,0,42.61,milp
